url,brewery,name
https://www.ratebeer.com/beer/allendale-wagtail-ale/132616/,ALLENDALE,Wagtail Best Bitter
https://www.ratebeer.com/beer/allendale-pennine-pale/203829/,ALLENDALE,Pennine Pale
https://www.ratebeer.com/beer/allendale-wolf/58598/,ALLENDALE,Wolf
https://www.ratebeer.com/beer/andwell-resolute-cask/103493/,ANDWELL,Resolute Bitter
https://www.ratebeer.com/beer/andwell-gold-muddler-cask/96834/,ANDWELL,Gold Muddler
https://www.ratebeer.com/beer/andwell-summer-daze/522392/,ANDWELL,Summer Daze
https://www.ratebeer.com/beer/andwell-king-john-bottle/130792/,ANDWELL,King John
https://www.ratebeer.com/beer/andwell-ruddy-darter-cask/114964/,ANDWELL,Ruddy Darter
,ANIMAL,Bear
,ANIMAL,Squawk
https://www.ratebeer.com/beer/arkells-wiltshire-gold/150229/,ARKELL,Wiltshire Gold
,ARKELL,Triple Bogey
https://www.ratebeer.com/beer/arkells-3b-cask/4243/,ARKELL,3B
https://www.ratebeer.com/beer/arkells-hoperation-ipa/434944/,ARKELL,Hoperation IPA
https://www.ratebeer.com/beer/arkells-moonlight-bottle/24421/,ARKELL,Moonlight
,ARKELL,Strawberries 'N' Cream
,ARUNDEL,Castle
https://www.ratebeer.com/beer/arundel-sussex-gold-cask/29821/,ARUNDEL,Sussex Gold
https://www.ratebeer.com/beer/arundel-wild-heaven/260731/,ARUNDEL,Wild Heaven APA
https://www.ratebeer.com/beer/ascot-alligator-ale/77209/,ASCOT,Alligator Ale
https://www.ratebeer.com/beer/aylesbury-california-dreaming/531910/,AYLESBURY,California Dreaming
https://www.ratebeer.com/beer/ayr-leezie-lundie/115476/,AYR,Leezie Lundie Pale Ale
https://www.ratebeer.com/beer/bt-shefford-blonde/263194/,AYR,Shefford Bitter
,AYR,Fruit Bat
https://www.ratebeer.com/beer/bt-hitchin-old-dark/255366/,AYR,Shefford Old Dark
,AYR,Shefford Old Strong
https://www.ratebeer.com/beer/bank-top-dark-mild/28959/,BANK TOP,Dark Mild
https://www.ratebeer.com/beer/beartown-ginger-bear/27687/,BEARTOWN,Ginger Bear
https://www.ratebeer.com/beer/beartown-peach-melbear/107934/,BEARTOWN,Peach Melbear
https://www.ratebeer.com/beer/binghams-vanilla-stout/143991/,BINGHAMS,Vanilla Stout
https://www.ratebeer.com/beer/black-sheep-golden-sheep-bottle/19326/,BLACK SHEEP,Golden Sheep
https://www.ratebeer.com/beer/black-sheep-pathmaker/358761/,BLACK SHEEP,Pathmaker Pale Ale
https://www.ratebeer.com/beer/black-tor-pride-of-dartmoor/236929/,BLACK TOR,Pride of Dartmoor
https://www.ratebeer.com/beer/black-tor-raven/431089/,BLACK TOR,Raven Bitter
https://www.ratebeer.com/beer/blue-square-abyss/454892/,BLUE SQUARE,Abyss Porter
https://www.ratebeer.com/beer/bond-goldi-hops/387290/,BOND,Goldi-Hops
https://www.ratebeer.com/beer/bond-best-of-british/388745/,BOND,Best of British
https://www.ratebeer.com/beer/bond-railway-porter/390652/,BOND,Railway Porter
,BOSUN'S,Razamataz Raspberry Wheat
https://www.ratebeer.com/beer/boutilliers-smoked-oatmeal-stout/444031/,BOUTILLIERS,Smoke Oatmeal Stout
https://www.ratebeer.com/beer/bradfield-farmers-yellow-jersey/269938/,BRADFIELD,Farmers Yellow Jersey
https://www.ratebeer.com/beer/brains-dark-bottle/6783/,BRAINS,Dark
,BREW BUDDIES,Session Buddy
http://www.ratebeer.com/beer/brew-buddies-best-bitter/378688/,BREW BUDDIES,Best Bitter
https://www.ratebeer.com/beer/brew-buddies-pa03-cascade-sybilla/527919/,BREW BUDDIES,Cascade Sybilla Pale Ale
https://www.ratebeer.com/beer/brew-buddies-wokka-apa/527765/,BREW BUDDIES,Wokka American Pale Ale
https://www.ratebeer.com/beer/buffys-hopleaf/5465/,BUFFYS,Hopleaf
https://www.ratebeer.com/beer/buffys-norwegian-blue/5467/,BUFFYS,Norwegian Blue
https://www.ratebeer.com/beer/burton-bridge-damson-porter/30534/,BURTON BRIDGE,Damson Porter
https://www.ratebeer.com/beer/bushys-old-bushy-tail/5483/,BUSHYS,Old Bushy Tail
https://www.ratebeer.com/brewers/canterbury-ales-canterbrew/12428/,CANTERBURY ALES,Kent Triple Gold
https://www.ratebeer.com/beer/castle-rock-black-gold-cask/25661/,CASTLE ROCK,Black Gold
https://www.ratebeer.com/beer/castle-rock-elsie-mo-cask/13853/,CASTLE ROCK,Elsie Mo
https://www.ratebeer.com/beer/caveman-palaeolithic/219309/,CAVEMAN,Palaeolithic
https://www.ratebeer.com/beer/caveman-megalithic/213595/,CAVEMAN,Megalithic
https://www.ratebeer.com/beer/church-hanbrewery-ale-x/492226/,CHURCH HANBREWERY,Ale X
https://www.ratebeer.com/p/westholme-stores-goring/9142/388623/,CHURCH HANBREWERY,Red Beeter
https://www.ratebeer.com/beer/church-hanbrewery-witty-bea/515255/,CHURCH HANBREWERY,Witty Bea
http://www.ratebeer.com/beer/church-hanbrewery-rauk/450440/,CHURCH HANBREWERY,Rauk
https://www.ratebeer.com/beer/church-hanbrewery-bluenette/480686/,CHURCH HANBREWERY,Bluenette
https://www.ratebeer.com/beer/church-hanbrewery-mat-black/478077/,CHURCH HANBREWERY,Mat Black
https://www.ratebeer.com/beer/church-hanbrewery-1-4-keeps-one-for-keeps/485108/,CHURCH HANBREWERY,1 4 Keeps
https://www.ratebeer.com/beer/church-hanbrewery-ze-braun/485075/,CHURCH HANBREWERY,Ze Braun
http://www.ratebeer.com/beer/clarks-classic-blonde/26333/,CLARKS,Classic Blonde
https://www.ratebeer.com/beer/clarkshaws-gorgons-alive/233816/,CLARKSHAWS,Gorgon's Alive
https://www.ratebeer.com/beer/clarkshaws-phoenix-rising/233995/,CLARKSHAWS,Phoenix Rising
https://www.ratebeer.com/beer/clarkshaws-strange-brew-1/237153/,CLARKSHAWS,Strange Brew No.1
https://www.ratebeer.com/beer/clarkshaws-hellhound-ipa/238571/,CLARKSHAWS,Hellhound IPA
https://www.ratebeer.com/brewers/coach-house/730/,COACH HOUSE,Coachmans Summer Ale
https://www.ratebeer.com/beer/coach-house-dick-turpin/22632/2/1/,COACH HOUSE,Dick Turpin
https://www.ratebeer.com/beer/coach-house-apricot/306258/,COACH HOUSE,Apricot
https://www.ratebeer.com/beer/coach-house-banoffee-bitter/47044/,COACH HOUSE,Banoffee
https://www.ratebeer.com/beer/coach-house-blueberry-classic-bitter/76994/,COACH HOUSE,Blueberry
https://www.ratebeer.com/beer/coach-house-cherry/148801/,COACH HOUSE,Cherry
https://www.ratebeer.com/beer/coach-house-coconut/148218/,COACH HOUSE,Coconut
https://www.ratebeer.com/beer/coach-house-cranberry/109613/,COACH HOUSE,Cranberry
,COACH HOUSE,Lemon and Ginger- 5.0%
https://www.ratebeer.com/beer/coach-house-passion-fruit/79654/,COACH HOUSE,Passion Fruit
https://www.ratebeer.com/beer/coach-house-pineapple/146465/,COACH HOUSE,Pineapple
https://www.ratebeer.com/beer/coach-house-pink-grapefruit/123218/,COACH HOUSE,Pink Grapefruit
,COACH HOUSE,Raspberry
https://www.ratebeer.com/beer/coach-house-strawberry/65604/,COACH HOUSE,Strawberry
https://www.ratebeer.com/beer/coastal-merry-maidens-mild/75967/,COASTAL,Merry Maidens Mild
https://www.ratebeer.com/beer/coastal-poseidon-extra-cask/289022/,COASTAL,Poseidon Extra
https://www.ratebeer.com/beer/coastal-cornish-cascade/336524/,COASTAL,Cornish Cascade
,COTLEIGH,Calypso
https://www.ratebeer.com/beer/daleside-old-leg-over/5504/,DALESIDE,Brewery Best Bitter
https://www.ratebeer.com/beer/dark-star-hophead/16389/,DARK STAR,Hophead
https://www.ratebeer.com/beer/dark-star-partridge/137531/,DARK STAR,Partridge Best
https://www.ratebeer.com/beer/dark-star-espresso-stout-keg-bottle/60939/,DARK STAR,Espresso
https://www.ratebeer.com/beer/dark-star-sunburst-bottle/60940/,DARK STAR,Sunburst
https://www.ratebeer.com/beer/dark-star-american-pale-ale/32386/,DARK STAR,American Pale Ale
https://www.ratebeer.com/beer/donnington-bb/22326/,DONNINGTON,BB
https://www.ratebeer.com/beer/donnington-gold/227506/,DONNINGTON,Gold
https://www.ratebeer.com/beer/donnington-sba/22327/,DONNINGTON,SBA
https://www.ratebeer.com/beer/dorking-pacific-gold/514416/,DORKING,Pacific Gold
https://www.ratebeer.com/beer/dorking-pilcrow-pale/456596/,DORKING,Pilcrow Pale
https://www.ratebeer.com/beer/dorking-db-number-one-cask/110466/,DORKING,DB One
https://www.ratebeer.com/beer/dorking-lunar-white/514413/,DORKING,Lunar White
https://www.ratebeer.com/beer/dorking-buffalo-buffalo/346318/,DORKING,Buffalo Buffalo
https://www.ratebeer.com/beer/downton-bogus-buffalo-apa/346694/,DOWNTON,Bogus Buffalo
https://www.ratebeer.com/beer/downton-chocolate-orange-delight/81462/,DOWNTON,Chocolate Orange Delight
https://www.ratebeer.com/brewers/elgoods/703/,ELGOODS,Beer Goggles
https://www.ratebeer.com/beer/elland-nettlethrasher/31743/,ELLAND,Nettlethrasher
https://www.ratebeer.com/beer/elland-1872-porter/23663/,ELLAND,1872 Porter
https://www.ratebeer.com/beer/errant-comanche-porter/444691/,ERRANT,Comanche Porter
https://www.ratebeer.com/beer/first-chop-jam/432440/,FIRST CHOP,JAM Mango Pale Ale
https://www.ratebeer.com/beer/first-chop-pod/390352/,FIRST CHOP,POD Vanilla Stout
https://www.ratebeer.com/beer/five-points-pale/216464/,FIVE POINTS,Pale
https://www.ratebeer.com/beer/five-points-brick-field-brown/426225/,FIVE POINTS,Brick Field Brown
https://www.ratebeer.com/beer/five-points-hook-island-red/211968/,FIVE POINTS,Hook Island Red
https://www.ratebeer.com/beer/flying-monk-jackdaw-porter/418662/,FLYING MONK,Jackdaw Porter
https://www.ratebeer.com/beer/franklins-english-garden/216723/,FRANKLINS,English Garden
https://www.ratebeer.com/beer/fullers-london-pride-pasteurised/288/,FULLERS,London Pride
https://www.ratebeer.com/beer/fullers-esb-bottle-keg/290/,FULLERS,ESB
https://www.ratebeer.com/beer/gales-seafarers-ale--best-bitter--english-ale-cask/78072/,GALES,Seafarers
https://www.ratebeer.com/beer/gales-beachcomber-cask/281035/,GALES,Beachcomber
https://www.ratebeer.com/beer/gales-hsb/4330/,GALES,HSB
https://www.ratebeer.com/beer/goachers-real-mild-ale/17006/,GOACHERS,Real Mild
https://www.ratebeer.com/beer/godstone-not-so-black-white-stout/446382/,GODSTONE,Not So Black & White
https://www.ratebeer.com/beer/godstone-trenchmans-hop/473106/,GODSTONE,Trenchmans Hop
https://www.ratebeer.com/beer/godstone-pondtail-pale/447014/,GODSTONE,Pondtail Pale
https://www.ratebeer.com/beer/godstone-bitter-entropy/406689/,GODSTONE,Bitter Entropy
https://www.ratebeer.com/beer/grafton-framboise/211852/,GRAFTON,Framboise Raspberry Beer
,GRAFTON,Pasa Pasha Passion Fruit Beer
https://www.ratebeer.com/beer/grafton-lady-ruby/220391/,GRAFTON,Lady Ruby
https://www.ratebeer.com/beer/grafton-apricot-jungle/257932/,GRAFTON,Apricot Jungle
https://www.ratebeer.com/beer/grafton-caramel-stout/387771/,GRAFTON,Caramel Stout
,GRAFTON,Marmalady Orange Beer
https://www.ratebeer.com/beer/great-heck-christopher/330610/,GREAT HECK,Christopher
https://www.ratebeer.com/beer/great-heck-mount-hood/434861/,GREAT HECK,Mount Hood
https://www.ratebeer.com/beer/great-heck-treasure-ipa/204766/,GREAT HECK,Treasure IPA
https://www.ratebeer.com/beer/green-jack-orange-wheat-beer/33415/,GREEN JACK,Orange Wheat
https://www.ratebeer.com/beer/green-jack-lurcher-stout/87934/,GREEN JACK,Lurcher Stout
https://www.ratebeer.com/beer/green-jack-baltic-trader/109799/,GREEN JACK,Baltic Trader Imperial Stout
https://www.ratebeer.com/beer/gyle-59-take-it-easy/406351/,GYLE 59,Take It Easy
https://www.ratebeer.com/beer/gyle-59-freedom-hiker/289565/,GYLE 59,Freedom Hiker
,GYLE 59,Thoroughbred
https://www.ratebeer.com/beer/gyle-59-toujours/261733/,GYLE 59,Toujours
,GYLE 59,Sejuiced Mousse
https://www.ratebeer.com/beer/gyle-59-brads-coffee-stout/489123/,GYLE 59,Brad's Coffee Stout
https://www.ratebeer.com/beer/gyle-59-nettle-ipa/280468/,GYLE 59,Nettle IPA
https://www.ratebeer.com/beer/gyle-59-dorset-gipa/271180/,GYLE 59,Dorset GIPA
https://www.ratebeer.com/beer/gyle-59-the-favourite/249030/,GYLE 59,The Favourite
https://www.ratebeer.com/beer/gyle-59-starstruck/249033/,GYLE 59,Starstruck
https://www.ratebeer.com/beer/hambleton-bitter/38245/,HAMBLETON,Yorkshire Session Ale
,HARESFOOT,Malty Rye Session Ale
https://www.ratebeer.com/beer/haresfoot-all-rounder/343375/137343/,HARESFOOT,All Rounder
https://www.ratebeer.com/beer/haresfoot-sundial/267218/,HARESFOOT,Sundial Golden Ale
https://www.ratebeer.com/beer/haresfoot-lock-keepers/260153/,HARESFOOT,Lock Keepers Quality English Ale
https://www.ratebeer.com/beer/haresfoot-stardust/416424/,HARESFOOT,Stardust
https://www.ratebeer.com/beer/haresfoot-totem/294570/1/2/,HARESFOOT,Totem American IPA
https://www.ratebeer.com/beer/haresfoot-crafty-hare-stowaway-ipa/502024/,HARESFOOT,English IPA
https://www.ratebeer.com/beer/harveys-india-pale-ale-ipa-cask/324103/,HARVEYS,IPA
https://www.ratebeer.com/beer/harveys-sussex-wild-hop/223230/,HARVEYS,Wild Hop
https://www.ratebeer.com/beer/harveys-sussex-best-bitter-cask/4369/,HARVEYS,Sussex Best Bitter
https://www.ratebeer.com/beer/harveys-armada-ale-cask/4357/,HARVEYS,Armada Ale
,HIGHLAND BREWING,Orkney Blast
https://www.ratebeer.com/beer/holsworthy-great-english-hops/532258/,HOLSWORTHY,Great English Hops
,HOLSWORTHY,Bang On
,HOLSWORTHY,Roar With Pride
https://www.ratebeer.com/beer/hop-back-gfb-gilberts-first-brew/1239/,HOPBACK,GFB
https://www.ratebeer.com/beer/hop-fuzz-the-english/170173/,HOP FUZZ,The English
https://www.ratebeer.com/beer/hopdaemon-skrimshander/15420/,HOPDAEMON,Skrimshander IPA
https://www.ratebeer.com/beer/humpty-dumpty-lemon-ginger-ale/16201/,HUMPTY DUMPTY,Lemon & Ginger
,ISCA,Blonde
https://www.ratebeer.com/brewers/isca-ales--gargoyles/8027/,ISCA,Dawlish Bitter
